team,win,lose
Memphis Grizzlies,23,59
Los Angeles Clippers,66,16
San Antonio Spurs,77,5
Boston Celtics,59,23
Utah Jazz,42,40
Milwaukee Bucks,20,62
Sacramento Kings,23,59
Los Angeles Lakers,4,78
Charlotte Hornets,59,23
Indiana Pacers,52,30
Oklahoma City Thunder,73,9
Philadelphia 76ers,2,80
Portland Trail Blazers,58,23
Miami Heat,59,23
New York Knicks,19,63
Brooklyn Nets,6,76
Golden State Warriors,79,3
Minnesota Timberwolves,21,60
Toronto Raptors,72,10
Atlanta Hawks,61,21
Houston Rockets,44,38
Dallas Mavericks,43,39
Detroit Pistons,39,43
New Orleans Pelicans,19,63
Denver Nuggets,22,60
Cleveland Cavaliers,78,4
Chicago Bulls,40,42
Washington Wizards,39,43
Phoenix Suns,5,77
Orlando Magic,21,61
